index,lat,lon,data
0,1.222140966872339,103.60613839672487,false
1,1.2239390456268686,103.60613839672487,false
2,1.2257371243813981,103.60613839672487,false
3,1.2275352031359277,103.60613839672487,false
4,1.2293332818904572,103.60613839672487,false
5,1.2311313606449867,103.60613839672487,false
6,1.2329294393995163,103.60613839672487,false
7,1.2347275181540458,103.60613839672487,false
8,1.2365255969085753,103.60613839672487,false
9,1.2383236756631049,103.60613839672487,false
10,1.2401217544176344,103.60613839672487,false
11,1.241919833172164,103.60613839672487,false
12,1.2616986994719888,103.60613839672487,false
13,1.2203428881178096,103.6079368419965,false
14,1.222140966872339,103.6079368419965,false
15,1.2239390456268686,103.6079368419965,false
16,1.2257371243813981,103.6079368419965,false
17,1.2275352031359277,103.6079368419965,false
18,1.2293332818904572,103.6079368419965,false
19,1.2311313606449867,103.6079368419965,false
20,1.2329294393995163,103.6079368419965,false
21,1.2347275181540458,103.6079368419965,false
22,1.2365255969085753,103.6079368419965,false
23,1.2383236756631049,103.6079368419965,false
24,1.2401217544176344,103.6079368419965,false
25,1.241919833172164,103.6079368419965,false
26,1.2616986994719888,103.6079368419965,false
27,1.2634967782265183,103.6079368419965,false
28,1.2652948569810478,103.6079368419965,false
29,1.2670929357355774,103.6079368419965,false
30,1.2203428881178096,103.60973528726814,false
31,1.222140966872339,103.60973528726814,false
32,1.2239390456268686,103.60973528726814,false
33,1.2257371243813981,103.60973528726814,false
34,1.2275352031359277,103.60973528726814,false
35,1.2293332818904572,103.60973528726814,false
36,1.2311313606449867,103.60973528726814,false
37,1.2329294393995163,103.60973528726814,false
38,1.2347275181540458,103.60973528726814,false
39,1.2365255969085753,103.60973528726814,false
40,1.2383236756631049,103.60973528726814,false
41,1.2401217544176344,103.60973528726814,false
42,1.241919833172164,103.60973528726814,true
43,1.2473140694357525,103.60973528726814,false
44,1.249112148190282,103.60973528726814,false
45,1.2509102269448116,103.60973528726814,false
46,1.252708305699341,103.60973528726814,false
47,1.2616986994719888,103.60973528726814,false
48,1.2634967782265183,103.60973528726814,false
49,1.2652948569810478,103.60973528726814,false
50,1.2670929357355774,103.60973528726814,false
51,1.2688910144901069,103.60973528726814,false
52,1.2706890932446364,103.60973528726814,true
53,1.272487171999166,103.60973528726814,true
54,1.21854480936328,103.61153373253977,false
55,1.2203428881178096,103.61153373253977,false
56,1.222140966872339,103.61153373253977,false
57,1.2239390456268686,103.61153373253977,false
58,1.2257371243813981,103.61153373253977,false
59,1.2275352031359277,103.61153373253977,false
60,1.2293332818904572,103.61153373253977,false
61,1.2311313606449867,103.61153373253977,false
62,1.2329294393995163,103.61153373253977,false
63,1.2347275181540458,103.61153373253977,false
64,1.2365255969085753,103.61153373253977,false
65,1.2383236756631049,103.61153373253977,false
66,1.2401217544176344,103.61153373253977,true
67,1.241919833172164,103.61153373253977,true
68,1.2473140694357525,103.61153373253977,true
69,1.249112148190282,103.61153373253977,false
70,1.2509102269448116,103.61153373253977,true
71,1.252708305699341,103.61153373253977,true
72,1.2563044632084002,103.61153373253977,true
73,1.2581025419629297,103.61153373253977,false
74,1.2599006207174592,103.61153373253977,false
75,1.2616986994719888,103.61153373253977,false
76,1.2634967782265183,103.61153373253977,false
77,1.2652948569810478,103.61153373253977,false
78,1.2670929357355774,103.61153373253977,false
79,1.2688910144901069,103.61153373253977,false
80,1.2706890932446364,103.61153373253977,true
81,1.272487171999166,103.61153373253977,true
82,1.2742852507536955,103.61153373253977,true
83,1.276083329508225,103.61153373253977,true
84,1.21854480936328,103.6133321778114,false
85,1.2203428881178096,103.6133321778114,false
86,1.222140966872339,103.6133321778114,false
87,1.2239390456268686,103.6133321778114,false
88,1.2257371243813981,103.6133321778114,false
89,1.2275352031359277,103.6133321778114,false
90,1.2293332818904572,103.6133321778114,false
91,1.2311313606449867,103.6133321778114,false
92,1.2329294393995163,103.6133321778114,false
93,1.2347275181540458,103.6133321778114,false
94,1.2365255969085753,103.6133321778114,false
95,1.2383236756631049,103.6133321778114,true
96,1.2401217544176344,103.6133321778114,true
97,1.241919833172164,103.6133321778114,true
98,1.2437179119266935,103.6133321778114,true
99,1.245515990681223,103.6133321778114,true
100,1.2473140694357525,103.6133321778114,true
101,1.249112148190282,103.6133321778114,false
102,1.2509102269448116,103.6133321778114,true
103,1.252708305699341,103.6133321778114,true
104,1.2545063844538706,103.6133321778114,true
105,1.2563044632084002,103.6133321778114,true
106,1.2581025419629297,103.6133321778114,true
107,1.2599006207174592,103.6133321778114,false
108,1.2616986994719888,103.6133321778114,false
109,1.2634967782265183,103.6133321778114,false
110,1.2652948569810478,103.6133321778114,false
111,1.2670929357355774,103.6133321778114,false
112,1.2688910144901069,103.6133321778114,false
113,1.2706890932446364,103.6133321778114,true
114,1.272487171999166,103.6133321778114,true
115,1.2742852507536955,103.6133321778114,true
116,1.276083329508225,103.6133321778114,true
117,1.2778814082627545,103.6133321778114,true
118,1.21854480936328,103.61513062308303,false
119,1.2203428881178096,103.61513062308303,false
120,1.222140966872339,103.61513062308303,false
121,1.2239390456268686,103.61513062308303,false
122,1.2257371243813981,103.61513062308303,false
123,1.2275352031359277,103.61513062308303,false
124,1.2293332818904572,103.61513062308303,false
125,1.2311313606449867,103.61513062308303,false
126,1.2329294393995163,103.61513062308303,false
127,1.2347275181540458,103.61513062308303,false
128,1.2365255969085753,103.61513062308303,false
129,1.2383236756631049,103.61513062308303,true
130,1.2401217544176344,103.61513062308303,true
131,1.241919833172164,103.61513062308303,true
132,1.2437179119266935,103.61513062308303,true
133,1.245515990681223,103.61513062308303,true
